,10 chunks/story
6437,"[[10, 1, 0, 0, 0, 0, 2, 0, 0, 0], [9, 4, 1, 0, 0, 0, 2, 1, 0, 0], [12, 2, 1, 0, 1, 0, 2, 1, 0, 0], [4, 3, 1, 1, 0, 2, 1, 0, 0, 0], [10, 2, 0, 0, 1, 3, 0, 1, 0, 0], [17, 1, 0, 0, 2, 2, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0, 0, 0, 0, 0], [15, 0, 1, 0, 0, 0, 1, 0, 0, 0], [6, 2, 1, 0, 0, 1, 0, 1, 0, 0], [8, 0, 2, 1, 1, 0, 1, 1, 0, 1]]"
6438,"[[3, 8, 0, 0, 0, 0, 2, 0, 0, 0], [5, 3, 3, 1, 0, 0, 0, 0, 0, 0], [7, 8, 0, 0, 0, 2, 0, 0, 0, 0], [10, 2, 0, 0, 1, 1, 1, 0, 0, 0], [6, 4, 4, 0, 0, 2, 0, 0, 0, 0], [8, 1, 1, 0, 0, 0, 1, 0, 0, 0], [3, 11, 2, 2, 0, 0, 0, 0, 0, 0], [9, 4, 1, 0, 1, 0, 1, 0, 1, 0], [8, 0, 3, 0, 2, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4800,"[[8, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 2, 0, 0], [2, 4, 0, 0, 0, 1, 0, 1, 0, 0], [10, 1, 1, 0, 0, 0, 0, 0, 0, 0], [10, 0, 2, 0, 0, 0, 0, 0, 1, 0], [9, 1, 1, 0, 0, 0, 0, 0, 0, 0], [9, 1, 2, 0, 0, 0, 0, 0, 0, 0], [12, 1, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 2, 2, 1, 0, 0, 0, 0, 0]]"
1722,"[[9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 1, 1, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 0, 0, 0, 1, 0, 0, 0, 0, 0], [11, 1, 0, 0, 1, 0, 0, 0, 0, 0], [10, 2, 0, 3, 0, 1, 0, 0, 0, 0], [13, 0, 0, 2, 1, 0, 0, 0, 0, 0], [7, 1, 1, 1, 0, 1, 0, 0, 0, 0], [4, 1, 1, 1, 0, 0, 0, 0, 0, 0], [12, 2, 0, 1, 0, 1, 0, 0, 0, 0]]"
5894,"[[10, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 1, 0, 0, 0, 0], [9, 0, 0, 2, 0, 0, 0, 0, 0, 0], [8, 1, 0, 0, 2, 0, 0, 0, 0, 0], [12, 0, 0, 0, 0, 1, 0, 0, 0, 0], [8, 0, 0, 1, 0, 0, 0, 0, 0, 0], [13, 0, 0, 1, 0, 1, 0, 0, 0, 0], [8, 0, 1, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
4951,"[[12, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 4, 2, 0, 0, 0, 0, 0, 0, 0], [4, 4, 0, 0, 1, 0, 1, 0, 0, 0], [8, 1, 0, 0, 0, 0, 2, 0, 0, 0], [8, 2, 5, 0, 0, 0, 1, 0, 0, 0], [7, 2, 2, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 1, 0, 1, 0, 0, 0], [3, 3, 4, 0, 1, 0, 1, 0, 0, 0], [5, 5, 1, 0, 0, 0, 1, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
2552,"[[10, 0, 0, 0, 1, 0, 1, 0, 0, 0], [7, 3, 1, 0, 1, 0, 4, 0, 0, 1], [10, 0, 0, 0, 0, 0, 1, 0, 0, 0], [12, 1, 1, 0, 0, 0, 0, 0, 0, 0], [10, 1, 0, 0, 1, 0, 0, 0, 0, 0], [12, 0, 1, 0, 1, 0, 0, 0, 0, 0], [14, 1, 2, 0, 1, 0, 0, 0, 0, 0], [10, 0, 2, 0, 0, 0, 1, 0, 0, 0], [9, 1, 2, 0, 0, 0, 2, 0, 0, 0], [9, 0, 2, 1, 1, 0, 1, 0, 0, 0]]"
579,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1019,"[[0, 3, 1, 1, 1, 0, 0, 0, 0, 0], [2, 2, 1, 1, 0, 0, 0, 0, 0, 0], [3, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 2, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0]]"
1021,"[[3, 3, 1, 0, 2, 0, 0, 0, 0, 0], [8, 2, 0, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 0, 3, 0, 1, 0, 0, 0], [4, 3, 3, 0, 0, 0, 0, 0, 0, 0], [3, 0, 4, 0, 3, 0, 0, 1, 0, 0], [6, 3, 2, 0, 1, 0, 0, 5, 0, 0], [7, 2, 1, 0, 3, 0, 0, 3, 0, 0], [4, 0, 2, 1, 0, 0, 0, 1, 0, 0], [4, 0, 1, 0, 0, 0, 1, 1, 0, 0], [8, 0, 1, 0, 2, 0, 0, 2, 0, 0]]"
