,10 chunks/story
13229,"[[6, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 1, 0, 0, 0], [9, 1, 0, 0, 0, 0, 2, 0, 0, 0], [9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 1, 1, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 2, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
12898,"[[3, 0, 0, 2, 0, 0, 0, 0, 0, 0], [3, 0, 1, 1, 1, 0, 0, 0, 0, 0], [3, 1, 0, 1, 0, 0, 0, 0, 0, 0], [2, 1, 1, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 2, 0, 0, 0, 0], [0, 3, 0, 1, 0, 0, 0, 0, 0, 0], [3, 3, 0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 2, 1, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
12899,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 1, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
14088,"[[1, 3, 1, 0, 0, 0, 0, 0, 0, 0], [7, 2, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 2, 0, 1, 0, 0, 0, 0, 1, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 1, 0, 0, 0, 2, 0, 0, 0, 0], [9, 0, 1, 1, 0, 0, 0, 0, 0, 0], [4, 0, 1, 1, 0, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 2, 0, 0, 0, 0, 0, 0, 0, 0]]"
3993,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 1, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
12904,"[[9, 1, 0, 0, 0, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0, 0, 0, 0, 0], [21, 0, 1, 0, 1, 0, 0, 0, 0, 0], [14, 0, 0, 1, 0, 2, 0, 0, 0, 0], [14, 0, 1, 0, 1, 2, 0, 0, 0, 0], [17, 1, 0, 1, 0, 0, 0, 0, 0, 0], [15, 0, 0, 1, 0, 0, 0, 0, 0, 0], [13, 0, 0, 1, 0, 1, 0, 1, 0, 0], [20, 1, 1, 1, 1, 1, 0, 0, 0, 0], [14, 0, 1, 0, 0, 0, 0, 2, 0, 0]]"
4009,"[[7, 2, 0, 0, 1, 1, 0, 0, 0, 0], [3, 0, 0, 1, 1, 1, 0, 0, 0, 0], [5, 0, 0, 0, 0, 1, 0, 0, 1, 0], [4, 1, 0, 0, 1, 2, 0, 0, 0, 0], [3, 2, 1, 0, 0, 2, 0, 0, 2, 0], [1, 3, 2, 2, 0, 2, 0, 0, 0, 0], [7, 0, 0, 1, 1, 0, 0, 0, 0, 0], [9, 0, 3, 0, 0, 0, 0, 0, 0, 0], [3, 1, 0, 1, 2, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3897,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [10, 0, 0, 2, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 2, 0, 0, 0, 0, 2, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3898,"[[1, 0, 0, 0, 0, 0, 1, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 1, 0, 1, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 1, 0, 0], [6, 0, 0, 0, 0, 1, 1, 1, 0, 0], [3, 1, 0, 0, 1, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 0, 1, 0, 0, 0], [6, 2, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3899,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0, 0, 0, 1, 0], [6, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 2, 0, 1, 0, 0, 0, 0, 0]]"
