,10 chunks/story
5724,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 1, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 1, 0, 3, 0, 0, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13461,"[[9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [9, 2, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 1, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 1, 0, 0, 0], [8, 0, 2, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
5725,"[[11, 0, 3, 0, 0, 0, 0, 1, 0, 0], [12, 1, 3, 0, 0, 0, 0, 0, 0, 0], [12, 0, 1, 1, 1, 0, 0, 1, 0, 0], [14, 1, 0, 1, 0, 0, 0, 0, 0, 0], [5, 1, 1, 0, 0, 3, 0, 0, 0, 0], [11, 1, 0, 0, 1, 1, 0, 0, 0, 0], [7, 0, 3, 2, 1, 2, 0, 0, 0, 0], [8, 2, 4, 1, 0, 0, 0, 0, 0, 0], [10, 1, 1, 2, 1, 3, 0, 0, 0, 0], [12, 1, 2, 2, 0, 0, 0, 0, 0, 0]]"
13462,"[[3, 1, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 1, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 2, 1, 0, 0, 0, 0, 0, 0, 0], [4, 2, 0, 0, 1, 1, 0, 0, 0, 0], [5, 0, 0, 0, 2, 0, 0, 0, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13463,"[[8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 2, 0, 0, 0], [6, 0, 0, 0, 0, 0, 1, 0, 0, 0], [4, 0, 0, 0, 0, 0, 1, 0, 0, 0], [9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 1, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 2, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 1, 0, 0, 1, 0, 0]]"
5727,"[[9, 1, 1, 0, 0, 0, 1, 1, 0, 0], [6, 3, 2, 0, 0, 0, 1, 0, 0, 0], [6, 0, 1, 0, 0, 0, 1, 0, 0, 0], [7, 0, 0, 0, 0, 0, 1, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [11, 0, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 2, 0, 2, 0, 1, 0, 0, 0], [9, 1, 3, 0, 1, 1, 1, 0, 0, 0], [8, 1, 4, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13464,"[[10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 1, 0], [8, 0, 0, 2, 0, 1, 0, 0, 0, 0], [5, 1, 0, 1, 0, 0, 0, 0, 1, 0], [7, 2, 3, 1, 0, 0, 0, 0, 0, 0], [5, 1, 1, 0, 1, 0, 0, 0, 0, 0], [12, 0, 1, 0, 0, 0, 0, 1, 0, 0], [4, 0, 0, 0, 1, 0, 0, 0, 0, 0], [11, 0, 3, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13465,"[[8, 0, 1, 2, 0, 0, 0, 0, 0, 0], [9, 2, 0, 0, 0, 0, 0, 0, 0, 0], [6, 1, 0, 0, 0, 3, 0, 0, 0, 0], [6, 0, 1, 0, 0, 1, 0, 0, 0, 0], [5, 1, 0, 2, 0, 4, 0, 0, 0, 0], [8, 1, 1, 1, 0, 1, 0, 0, 0, 0], [11, 0, 0, 1, 0, 1, 0, 0, 0, 0], [10, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13466,"[[4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
5629,"[[8, 1, 0, 0, 0, 0, 0, 0, 0, 0], [11, 2, 1, 0, 2, 0, 0, 0, 0, 0], [5, 6, 0, 0, 1, 2, 0, 0, 0, 0], [14, 1, 0, 0, 3, 1, 0, 0, 0, 0], [13, 1, 0, 0, 1, 1, 0, 0, 1, 0], [14, 1, 1, 0, 1, 1, 0, 0, 0, 0], [7, 1, 1, 0, 1, 0, 0, 0, 0, 0], [8, 0, 2, 0, 0, 0, 0, 0, 0, 0], [6, 2, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
