,10 chunks/story
13192,"[[5, 0, 0, 0, 0, 1, 0, 0, 0, 0], [9, 1, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 1, 0, 0, 1, 0, 0, 0, 0], [7, 0, 1, 0, 0, 2, 0, 0, 0, 0], [5, 0, 0, 2, 0, 0, 0, 0, 0, 0], [11, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 2, 0, 0, 0, 0, 0, 0, 0]]"
1298,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 1, 0, 0, 0, 0, 0, 1], [4, 0, 2, 0, 0, 0, 0, 0, 0, 0], [6, 1, 0, 0, 3, 0, 0, 0, 0, 3], [6, 2, 1, 0, 1, 0, 0, 0, 0, 1], [8, 0, 0, 1, 0, 0, 0, 0, 0, 1], [9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 1, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13194,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 3, 0, 3, 0, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0, 0]]"
13195,"[[12, 0, 2, 1, 0, 0, 0, 0, 0, 0], [16, 0, 0, 0, 0, 0, 0, 0, 0, 0], [16, 0, 0, 1, 1, 0, 0, 0, 0, 0], [14, 1, 1, 2, 0, 3, 0, 0, 0, 0], [15, 0, 0, 0, 1, 1, 0, 0, 1, 0], [13, 0, 1, 2, 1, 3, 0, 0, 0, 0], [10, 0, 2, 1, 0, 3, 0, 0, 0, 0], [9, 0, 3, 5, 0, 5, 0, 0, 0, 0], [16, 1, 1, 0, 0, 0, 0, 0, 0, 0], [8, 4, 1, 0, 0, 0, 0, 0, 0, 0]]"
1301,"[[8, 0, 0, 0, 0, 0, 0, 1, 0, 0], [12, 1, 0, 0, 0, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 1, 0, 0, 0, 0], [14, 0, 0, 2, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 3, 0, 0, 0, 0], [14, 0, 0, 0, 1, 0, 0, 0, 0, 0], [11, 0, 1, 1, 0, 1, 0, 0, 0, 0], [9, 0, 2, 0, 0, 0, 0, 0, 0, 0], [11, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13198,"[[2, 2, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 1, 0, 0, 0, 0], [3, 0, 1, 0, 0, 1, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
8642,"[[6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 2, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 1, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [4, 0, 0, 2, 0, 0, 0, 0, 0, 0]]"
13201,"[[6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 1, 1, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13202,"[[6, 2, 1, 0, 0, 0, 1, 0, 0, 0], [2, 3, 0, 0, 1, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 1, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 1, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 1, 1, 0, 0, 1, 0, 0, 0], [5, 0, 1, 0, 1, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 1, 2, 0, 0, 0, 0, 1, 0, 0], [5, 1, 2, 0, 0, 0, 0, 0, 0, 0]]"
14005,"[[5, 1, 1, 1, 0, 0, 0, 0, 0, 0], [5, 8, 1, 0, 0, 0, 0, 0, 0, 0], [7, 7, 0, 0, 0, 1, 0, 0, 0, 0], [2, 6, 2, 0, 1, 0, 0, 0, 0, 0], [5, 5, 0, 0, 2, 4, 0, 0, 0, 0], [9, 7, 0, 0, 1, 3, 0, 0, 0, 0], [6, 4, 1, 1, 1, 1, 0, 0, 0, 0], [13, 1, 0, 0, 1, 1, 0, 0, 0, 0], [6, 2, 1, 2, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
