,Lower Bound,Upper Bound,Difference in Sample Means: Post - Pre
Baby,0.24447821363119948,0.8999750371062033,0.5722266253687014
Partner,0.03045665571357417,0.525720805069513,0.2780887303915436
Family,-0.5460383721200884,-0.25794781379673026,-0.40199309295840935
Induction,0.2998170875222306,0.7770267001633895,0.53842189384281
