,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
143,124,12,13,4,0,17,0,1,1,0
144,66,12,7,4,7,5,0,0,0,0
145,91,8,4,1,3,2,7,2,1,0
146,122,7,5,1,0,2,0,1,0,0
147,69,22,6,1,4,5,2,1,0,0
148,48,5,0,7,3,2,0,3,0,0
149,101,21,4,0,8,4,12,0,0,0
150,67,2,9,7,3,0,0,1,1,0
151,42,2,4,5,0,3,0,1,0,0
152,80,1,3,6,1,2,0,6,1,0
153,40,0,1,1,0,0,1,0,0,0
154,67,7,4,0,5,0,3,0,0,0
155,94,7,5,4,0,1,0,1,1,0
156,46,5,2,1,0,0,0,2,1,0
157,75,10,14,7,4,2,0,0,0,0
158,72,9,27,0,3,3,15,3,0,0
159,69,17,3,0,0,0,7,0,0,0
160,34,4,6,2,0,2,0,0,0,0
161,100,10,13,2,0,7,0,2,0,0
162,71,1,5,6,0,0,1,0,0,0
163,100,4,9,4,3,2,0,0,0,0
164,62,6,17,4,2,2,0,3,0,5
165,88,5,11,0,12,0,1,0,0,0
166,48,10,2,0,0,5,5,0,0,0
167,65,17,5,5,4,5,0,3,1,0
168,177,6,6,7,2,3,0,15,0,1
169,43,1,2,3,0,2,0,2,0,0
170,102,3,4,9,0,8,0,1,0,0
171,44,7,5,2,0,1,0,1,0,3
172,41,0,3,0,1,0,5,0,0,0
173,47,2,2,2,0,0,0,0,0,0
174,65,20,7,3,0,2,0,2,0,0
175,36,4,4,5,0,0,0,0,0,0
176,66,4,6,4,6,2,0,1,1,0
177,88,2,1,8,3,3,0,1,0,0
178,88,2,1,8,3,3,0,1,0,0
179,101,8,2,2,7,0,3,0,3,0
180,73,11,4,13,2,7,0,0,0,0
181,110,9,6,7,2,6,0,2,0,0
182,46,10,7,4,7,1,0,1,0,0
183,49,2,0,2,0,0,0,3,0,0
184,75,1,9,5,0,1,0,4,0,0
185,31,7,2,0,0,0,0,1,0,0
186,94,15,8,5,9,0,5,1,4,0
187,86,3,6,3,4,3,0,1,0,0
188,181,4,10,8,1,11,0,3,0,4
189,37,2,3,4,5,3,0,0,0,0
190,39,11,2,0,3,0,2,2,0,0
191,39,6,3,1,1,0,0,0,0,0
192,72,21,3,16,8,5,0,0,0,0
193,82,4,4,6,0,7,0,0,1,0
194,69,22,1,6,5,4,0,0,2,0
195,127,7,11,9,3,6,0,1,0,5
196,100,22,10,12,4,5,0,0,0,0
197,40,3,2,0,1,3,2,1,1,0
198,52,7,10,2,9,2,1,1,0,0
199,61,7,2,1,0,0,0,0,0,0
200,67,8,2,7,0,2,0,0,0,0
201,135,14,13,0,9,0,12,0,0,0
202,85,8,17,5,3,0,0,0,1,0
203,55,9,1,3,4,1,0,0,2,0
204,37,4,2,0,0,0,0,1,1,0
205,72,5,2,9,0,7,0,12,2,0
206,36,2,2,2,2,1,0,0,0,0
207,40,6,2,5,0,4,0,0,0,0
208,60,12,3,7,5,3,0,0,1,0
209,71,10,2,2,0,2,2,0,0,0
210,202,3,2,6,0,2,0,6,1,0
211,57,3,2,0,3,2,0,1,0,0
212,59,2,3,0,1,1,0,1,0,0
213,102,16,2,8,0,6,1,1,0,0
214,64,10,5,9,2,5,0,0,2,0
215,40,2,2,3,3,1,0,3,1,0
216,44,13,1,5,2,3,0,0,0,0
217,39,1,1,2,0,2,0,0,0,0
218,85,11,6,3,6,4,3,1,0,0
219,56,11,6,8,5,3,0,3,2,0
220,95,10,8,9,10,10,0,1,1,0
221,58,5,3,6,0,0,0,0,0,0
222,36,8,7,6,0,4,0,3,0,0
223,64,3,5,2,0,4,0,1,1,0
224,87,6,6,0,3,4,3,4,0,0
225,28,5,0,0,5,0,0,0,0,0
226,96,16,10,0,6,8,11,1,0,0
227,75,15,7,1,9,0,6,0,0,4
228,50,2,8,4,0,4,0,1,0,0
229,33,3,3,1,4,3,0,1,0,0
230,86,23,4,15,8,4,0,6,1,0
231,60,5,3,3,0,3,0,1,0,0
232,66,1,1,4,0,1,0,2,1,0
233,66,1,1,4,0,1,0,2,1,0
234,66,1,1,4,0,1,0,2,1,0
