,Statistics,P-Values
Author,7.720291899077824,1.3741546093418306e-14
We,6.338215003416045,2.5132049775841144e-10
Baby,3.242381887995765,0.0011925590937605056
Doctor,5.326243730040668,1.0433030882313586e-07
Partner,2.237054985431725,0.02532343181847078
Nurse,4.725242469881783,2.356757336569851e-06
Midwife,1.923485655947966,0.054471649276938774
Family,7.533644841134438,5.7525166394807e-14
Anesthesiologist,2.312173269628058,0.020805602860999133
Doula,2.8108775178870444,0.0049584770429023884
